UniprotA,UniprotB,SymbolA,SymbolB,pInt
Q8IZ07,Q9NR80-4,ANKRD13A,ARHGEF4,0.999571098455965
Q8IZ07,Q96CS2,ANKRD13A,HAUS1,0.953180540908201
Q8IZ07,Q8NEV8-2,ANKRD13A,EXPH5,0.99899635350166
Q8IZ07,Q9H6D7,ANKRD13A,HAUS4,0.99987125011816
Q8IZ07,Q68CZ6,ANKRD13A,HAUS3,0.99850364894851
Q8IZ07,Q9BT25-2,ANKRD13A,HAUS8,0.997929369247072
Q8IZ07,Q6PFW1-2,ANKRD13A,PPIP5K1,0.98917628010239
Q8IZ07,E7ERD3,ANKRD13A,HLA-DPB1,0.999878931315862
Q8IZ07,P58340,ANKRD13A,MLF1,0.999329688225833
Q8IZ07,Q9NUJ3,ANKRD13A,TCP11L1,0.870972103206798
Q8IZ07,Q9NUG6,ANKRD13A,PDRG1,0.836464337428628
Q8IZ07,Q9H992,ANKRD13A,MARCH7,0.989343056554447
Q8IZ07,Q99707,ANKRD13A,MTR,0.955706050584095
Q8IZ07,Q93045,ANKRD13A,STMN2,0.99948366670873
Q8IZ07,P27707,ANKRD13A,DCK,0.790131963532422
Q8IZ07,Q6PJI9,ANKRD13A,WDR59,0.890530547791722
Q8IZ07,Q7Z4H7-3,ANKRD13A,HAUS6,0.997000460953106
Q8IZ07,Q5W0B1,ANKRD13A,RNF219,0.999990838885402
Q8N9E0,Q69YQ0,FAM133A,SPECC1L,0.998814523313919
Q8N9E0,Q9Y608-2,FAM133A,LRRFIP2,0.949990350622144
Q8N9E0,P48378,FAM133A,RFX2,0.999999907656795
Q8N9E0,P22670,FAM133A,RFX1,0.999999913719185
Q8N9E0,Q96EY8,FAM133A,MMAB,0.999949895541065
Q8N9E0,Q07157-2,FAM133A,TJP1,0.830746390264704
Q8N9E0,Q93009,FAM133A,USP7,0.756252570157728
Q8N9E0,Q9P2X3-2,FAM133A,IMPACT,0.999981121889522
Q8N9E0,P28482,FAM133A,MAPK1,0.991713489070135
Q8N9E0,P27361,FAM133A,MAPK3,0.999046597627395
Q8N9E0,O00429-2,FAM133A,DNM1L,0.917974356584396
Q8N9E0,Q9Y450,FAM133A,HBS1L,0.999193199121953
Q8N9E0,P42785,FAM133A,PRCP,0.99419226433735
Q8N9E0,P11182,FAM133A,DBT,0.999900669074274
Q8N9E0,Q96KB5,FAM133A,PBK,0.797415212684225
Q8N9E0,P29144,FAM133A,TPP2,0.999959265517096
Q8N9E0,O15254,FAM133A,ACOX3,0.999999824154774
Q8N9E0,P49902,FAM133A,NT5C2,0.999999911068633
Q8N9E0,Q12933-2,FAM133A,TRAF2,0.95040512017791
Q8N9E0,O75052,FAM133A,NOS1AP,0.999998535075373
Q8N9E0,Q6NYC1-2,FAM133A,JMJD6,0.969689292285934
Q8N9E0,Q16643-2,FAM133A,DBN1,0.994455353630036
Q8N9E0,Q9ULT8,FAM133A,HECTD1,0.850987831946114
Q8N9E0,Q9P1U1-2,FAM133A,ACTR3B,0.909060270987292
Q8N9E0,P19784,FAM133A,CSNK2A2,0.999887497512738
Q8N9E0,Q8N1G2,FAM133A,FTSJD2,0.998371606953314
Q8N9E0,Q05086-2,FAM133A,UBE3A,0.96191632870542
Q8N9E0,P67775,FAM133A,PPP2CA,0.987106525783963
Q8N9E0,P68400,FAM133A,CSNK2A1,0.997464657684786
Q8N9E0,Q9NS86,FAM133A,LANCL2,0.978770772895414
Q8N9E0,P67870,FAM133A,CSNK2B,0.998636809357373
Q8N9E0,O75400-2,FAM133A,PRPF40A,0.993316008395051
Q8N9E0,Q9ULA0,FAM133A,DNPEP,0.999990654044836
Q8N9E0,Q96EK7,FAM133A,FAM120B,0.999929829311238
Q8N9E0,P30566-2,FAM133A,ADSL,0.83721870728941
Q8N9E0,Q9H3F6,FAM133A,KCTD10,0.998985833691609
Q8N9E0,Q9P2S5,FAM133A,WDR8,0.970298190371447
Q8N9E0,Q9Y2L1,FAM133A,DIS3,0.964920512490104
Q8N9E0,Q8WUA2,FAM133A,PPIL4,0.788784685698684
Q8N9E0,P49366-2,FAM133A,DHPS,0.809355909373092
Q8N9E0,Q9H307,FAM133A,PNN,0.936741229970953
Q8N9E0,Q9GZN8-2,FAM133A,C20orf27,0.994600227087808
Q8N9E0,Q9UKG1,FAM133A,APPL1,0.999892895281112
Q8N9E0,Q6YN16-2,FAM133A,HSDL2,0.755363789808082
Q8N9E0,P17252,FAM133A,PRKCA,0.968229305775404
Q8N9E0,Q5VZE5,FAM133A,NAA35,0.998336935371903
Q8N9E0,Q6IN85-2,FAM133A,SMEK1,0.79119581527534
Q8N9E0,O14936-3,FAM133A,CASK,0.855621148870566
Q8N9E0,P04637-4,FAM133A,TP53,0.999913694319563
Q8N9E0,Q9UHB7,FAM133A,AFF4,0.843923440355265
Q8N9E0,P55789,FAM133A,GFER,0.903145910207265
Q8N9E0,Q9UII2,FAM133A,ATPIF1,0.996565988627275
Q8N9E0,Q15599-2,FAM133A,SLC9A3R2,0.750588819817107
Q8N9E0,Q7L273,FAM133A,KCTD9,0.989544839353795
Q8N9E0,Q8N4P3-2,FAM133A,HDDC3,0.999968261433025
P12319,Q9Y3A5,FCER1A,SBDS,0.845021756677648
P12319,P37088-2,FCER1A,SCNN1A,0.986128640047212
P12319,Q9NXH8,FCER1A,C9orf167,0.932181787325179
P12319,P30613-2,FCER1A,PKLR,0.956989479540915
P12319,Q08AS3,FCER1A,LOC100509457,0.999947168046383
P12319,Q8TED1,FCER1A,GPX8,0.804913371589507
P12319,P07478,FCER1A,PRSS2,0.999398534123441
P12319,Q86XL3,FCER1A,ANKLE2,0.983853860563172
P12319,Q8WVC6,FCER1A,DCAKD,0.994310683360202
P12319,Q9H6A9,FCER1A,PCNXL3,0.996681654021503
Q9UI43,P31327-2,FTSJ2,CPS1,0.822112250772098
Q9UI43,P46199,FTSJ2,MTIF2,0.999934541731082
Q9UI43,P05165-2,FTSJ2,PCCA,0.989226013225411
Q9UI43,Q5JTZ9,FTSJ2,AARS2,0.999614199902945
Q9UI43,P09543-2,FTSJ2,CNP,0.884006078834678
Q9UI43,Q9Y2Z4,FTSJ2,YARS2,0.988695874601568
Q9UI43,Q9Y375,FTSJ2,NDUFAF1,0.969489804602535
Q9UI43,Q8IWV7-2,FTSJ2,UBR1,0.996477201671137
Q9UI43,P43155-2,FTSJ2,CRAT,0.965240346516177
Q9UI43,Q8TCS8,FTSJ2,PNPT1,0.999853831100869
Q9UI43,Q8IUR7-2,FTSJ2,ARMC8,0.989537083143865
Q9UI43,O43678,FTSJ2,NDUFA2,0.99470215943054
Q9UI43,Q96E29-2,FTSJ2,MTERFD1,0.933593779365349
Q9UI43,Q9Y606-2,FTSJ2,PUS1,0.819321407406097
Q9UI43,Q9Y2S7,FTSJ2,POLDIP2,0.840503843218384
Q9UI43,O43149,FTSJ2,ZZEF1,0.943993976518356
Q9UI43,O76031,FTSJ2,CLPX,0.814566166534454
Q9UI43,Q9UL63,FTSJ2,MKLN1,0.980347831423063
Q9UI43,Q7L5Y9-2,FTSJ2,MAEA,0.941348873505768
Q9UI43,P05166,FTSJ2,PCCB,0.984683470536923
Q9UI43,Q96SZ6-2,FTSJ2,CDK5RAP1,0.978117623374546
Q9UI43,A3KMH1-2,FTSJ2,KIAA0564,0.936627052301592
Q9UI43,O94925-3,FTSJ2,GLS,0.958644622007849
Q9UI43,P36776,FTSJ2,LONP1,0.943641925682971
Q9UI43,Q9H871,FTSJ2,RMND5A,0.834987646285376
Q9UI43,Q6VN20,FTSJ2,RANBP10,0.936454075427264
Q9UI43,Q5TC12,FTSJ2,ATPAF1,0.999998771027153
Q9UI43,Q6PI48,FTSJ2,DARS2,0.936751104348952
Q9UI43,P22830-2,FTSJ2,FECH,0.88147368034976
Q9UI43,Q8IVV7,FTSJ2,C17orf39,0.887591741316454
Q9UI43,Q5T447,FTSJ2,HECTD3,0.954820917701797
Q9UI43,Q9H7H0-2,FTSJ2,METTL17,0.80346509443418
Q9UI43,Q4G176,FTSJ2,ACSF3,0.99822178918387
Q9UI43,Q9NWU2,FTSJ2,C20orf11,0.923819265361359
Q9UI43,Q9NX20,FTSJ2,MRPL16,0.845459957504331
Q9UI43,Q96CM8,FTSJ2,ACSF2,0.890266556297095
Q9UI43,P43897,FTSJ2,TSFM,0.987885266959836
Q9UI43,Q4J6C6-4,FTSJ2,PREPL,0.999962737236515
Q9UI43,Q96RQ3,FTSJ2,MCCC1,0.94939248890046
Q9UI43,O95299,FTSJ2,NDUFA10,0.760088102981565
Q9UI43,Q96E11-2,FTSJ2,MRRF,0.968120562863224
Q9UI43,Q8WVZ9,FTSJ2,KBTBD7,0.755660990296061
Q9UI43,O75127,FTSJ2,PTCD1,0.966276443100984
Q9UI43,O75879,FTSJ2,PET112L,0.998882317136346
Q9UI43,Q9BQP7,FTSJ2,C20orf72,0.822793532743167
Q9UI43,O14874,FTSJ2,BCKDK,0.92224980844657
Q9UI43,P30038,FTSJ2,ALDH4A1,0.999596169144343
Q9UI43,Q9NVH6,FTSJ2,TMLHE,0.993172464438827
Q9UI43,Q15031,FTSJ2,LARS2,0.982819454832453
Q96I24-2,Q14554,FUBP3,PDIA5,0.999990649297862
Q96I24-2,P11226,FUBP3,MBL2,0.999996380688686
Q96I24-2,P07478,FUBP3,PRSS2,0.928323899758113
Q96I24-2,Q8IUE1,FUBP3,TGIF2LX,0.955662361755973
Q9HCQ5-2,P49862-2,GALNT9,KLK7,0.919473932324104
Q9HCQ5-2,Q15828,GALNT9,CST6,0.971464169028745
Q9HCQ5-2,O75635,GALNT9,SERPINB7,0.997722440469212
Q9HCQ5-2,Q9H6T0-2,GALNT9,ESRP2,0.766709929643182
Q9HCQ5-2,P42357,GALNT9,HAL,0.998754585123718
Q9HCQ5-2,E9PBV3,GALNT9,SBSN,0.999780745249176
Q9HCQ5-2,P25311,GALNT9,AZGP1,0.913644761507859
Q9HCQ5-2,P31944,GALNT9,CASP14,0.761287915410014
Q9HCQ5-2,P22735,GALNT9,TGM1,0.949555364276569
Q9HCQ5-2,O60911,GALNT9,CTSL2,0.980198943768266
Q9HCQ5-2,Q8IW35-2,GALNT9,CEP97,0.978228668800563
Q9HCQ5-2,P05089-2,GALNT9,ARG1,0.977682376734152
Q9HCQ5-2,Q8IW75,GALNT9,SERPINA12,0.999856661654385
Q9HCQ5-2,Q9H3S4,GALNT9,TPK1,0.999999923854135
Q9HCQ5-2,Q08188,GALNT9,TGM3,0.88068432334161
Q9HCQ5-2,Q9H1E1,GALNT9,RNASE7,0.988153222321634
Q9HCQ5-2,P11226,GALNT9,MBL2,0.999883823902262
Q9HCQ5-2,Q9BRT8,GALNT9,CBWD1,0.778302780816878
Q9HCQ5-2,Q5W0B1,GALNT9,RNF219,0.88914247432669
Q9HCQ5-2,P20930,GALNT9,FLG,0.934150254759968
Q9HCQ5-2,Q9UI42,GALNT9,CPA4,0.798606038363956
Q9HCQ5-2,Q8NEX9,GALNT9,SDR9C7,0.997211722789012
Q9HCQ5-2,O75342,GALNT9,ALOX12B,0.98862570764514
Q9HCQ5-2,Q86VI3,GALNT9,IQGAP3,0.750464021968912
Q9HCQ5-2,Q9NZH6-2,GALNT9,IL1F7,0.998247744369485
Q9HCQ5-2,Q15517,GALNT9,CDSN,0.927638405020255
Q9HCQ5-2,Q9UJX4,GALNT9,ANAPC5,0.768631339237124
Q9HCQ5-2,P49642,GALNT9,PRIM1,0.946906110183008
Q9HCQ5-2,Q8WVB6-2,GALNT9,CHTF18,0.803703317825276
Q9HCQ5-2,Q15742,GALNT9,NAB2,0.897974183323922
Q9HCQ5-2,Q96EP0-3,GALNT9,RNF31,0.921317476064875
Q9HCQ5-2,Q9BYJ1,GALNT9,ALOXE3,0.999191874459942
Q9HCQ5-2,Q3MIN7,GALNT9,RGL3,0.885066951855796
Q9HCQ5-2,Q13057-2,GALNT9,COASY,0.970429506435157
Q9HCQ5-2,Q96AX1,GALNT9,VPS33A,0.987151524817517
Q9HCQ5-2,Q86XN8-2,GALNT9,MEX3D,0.982657078977371
Q9HCQ5-2,O75896,GALNT9,TUSC2,0.947853214951931
Q9HCQ5-2,Q6DN90,GALNT9,IQSEC1,0.944859026903401
Q9HCQ5-2,Q3ZCW2,GALNT9,HSPC159,0.902505326599137
Q9HCQ5-2,Q5T749,GALNT9,KPRP,0.942365496386844
P22692,O75592-2,IGFBP4,MYCBP2,0.999995677339755
P22692,Q7Z7M0-2,IGFBP4,MEGF8,0.835640152596972
P22692,Q9Y2I1,IGFBP4,NISCH,0.847345939611248
P22692,Q8IVL6,IGFBP4,LEPREL2,0.771017479230999
P22692,Q8NCJ5,IGFBP4,SPRYD3,0.99999296781163
P22692,Q8N2E2,IGFBP4,VWDE,0.966158011742826
P22692,Q8IWV8-4,IGFBP4,UBR2,0.997552807399447
P22692,Q86WA8,IGFBP4,LONP2,0.999998284335077
P22692,P01344-2,IGFBP4,IGF2,0.999795119508288
P22692,Q53GT1,IGFBP4,KLHL22,0.999475179984289
P22692,P0C2W1,IGFBP4,FBXO45,0.999884960591038
P22692,Q9P2N7-2,IGFBP4,KLHL13,0.994448766188912
P22692,Q9P2J3,IGFBP4,KLHL9,0.929273758863448
P22692,P13497-2,IGFBP4,BMP1,0.803556483596319
P22692,Q53HC5,IGFBP4,KLHL26,0.829717352154365
P22692,Q96F46,IGFBP4,IL17RA,0.817132225354495
P22692,Q04721,IGFBP4,NOTCH2,0.994753583769459
P22692,P46531,IGFBP4,NOTCH1,0.979130421741096
Q2M1V0,P27707,ISX,DCK,0.999994780519365
Q2M1V0,P30613-2,ISX,PKLR,0.956989479540915
Q2M1V0,Q9NRP2,ISX,C16orf61,0.985860051303851
Q2M1V0,O14556,ISX,GAPDHS,0.858517106566772
Q2M1V0,O95396,ISX,MOCS3,0.971979043149803
Q2M1V0,Q9H3S4,ISX,TPK1,0.864372531584517
Q2M1V0,P24158,ISX,PRTN3,0.891933406601109
Q9H2R5,Q6P3X3,KLK15,TTC27,0.920051679958215
Q9H2R5,P13497-2,KLK15,BMP1,0.976345225324026
Q9H2R5,P55268,KLK15,LAMB2,0.884763240196951
Q9H2R5,Q96N66-2,KLK15,MBOAT7,0.994214004782007
