uniprot,symbol,compartments,n_compartments
P00813,ADA,cell junction;cytosol;lysosome;plasma_membrane;vesicle,5
Q8N7W2-2,BEND7,extracellular;vesicle,2
Q6ZMN8,CCNI2,nucleus,1
P20138,CD33,golgi;nucleus;peroxisome;plasma_membrane;vesicle,5
P55039,DRG2,cytosol;nucleus,2
Q9UJM8,HAO1,cytosol;peroxisome,2
Q9NZL4,HSPBP1,endoplasmic_reticulum;extracellular,2
Q92604,LPGAT1,endoplasmic_reticulum;nucleus,2
P43363,MAGEA10,cytosol;nucleus,2
O15264,MAPK13,cytosol;nucleus,2
O15143,ARPC1B,cell junction;cytoskeleton;cytosol;extracellular;nucleus;vesicle,6
Q08752,PPID,cytosol;nucleolus;nucleus,3
Q8N3J5,PPM1K,mitochondrion,1
Q15050,RRS1,nucleolus;nucleus,2
O60507,TPST1,golgi,1
P06132,UROD,cytosol;nucleus,2
Q7L8A9,VASH1,cytosol;endoplasmic_reticulum;extracellular,3
Q99848,EBNA1BP2,nucleolus;nucleus,2
P28566,HTR1E,plasma_membrane,1
P05111,INHA,extracellular;plasma_membrane,2
O60663-2,LMX1B,nucleus,1
Q9H1B4-2,NXF5,nucleus,1
Q9BWT1-2,CDCA7,cytosol;nucleus,2
Q07864,POLE,nucleus;plasma_membrane,2
Q6PGN9-2,PSRC1,cytoskeleton;cytosol;nucleus,3
P78406,RAE1,cytoskeleton;nucleolus;nucleus,3
Q7Z5B4-5,RIC3,endoplasmic_reticulum;golgi;nucleus;plasma_membrane,4
Q9BXA7,TSSK1B,plasma_membrane;vesicle,2
P62068-3,USP46,cytosol;nucleus,2
Q9NZR4,VSX1,nucleus,1
Q9P0U1,TOMM7,mitochondrion,1
P56385,ATP5ME,mitochondrion,1
P02795,MT2A,cytosol;nucleus,2
O15239,NDUFA1,mitochondrion,1
Q9NPE3,NOP10,nucleolus;nucleus,2
P54368,OAZ1,cytosol;nucleus,2
P62875,POLR2L,cytosol;nucleolus;nucleus,3
P63220,RPS21,cytosol;endoplasmic_reticulum;nucleus,3
P62857,RPS28,cytosol;endoplasmic_reticulum;extracellular;nucleus;vesicle,5
P50502,ST13,cytosol;extracellular;vesicle,3
Q9UDW1,UQCR10,mitochondrion,1
Q14061,COX17,mitochondrion,1
P50151,GNG10,plasma_membrane,1
P63218,GNG5,extracellular;plasma_membrane;vesicle,3
O75394,MRPL33,mitochondrion,1
Q9BS18,ANAPC13,nucleus,1
P63215,GNG3,plasma_membrane,1
P50150,GNG4,extracellular;plasma_membrane;vesicle,3
Q9Y5U9,IER3IP1,endoplasmic_reticulum;golgi;nucleus;vesicle,4
P62312,LSM6,cytosol;nucleolus;nucleus,3
Q9NWA0,MED9,nucleus,1
Q08AG7,MZT1,cytoskeleton;cytosol,2
Q92686,NRGN,cytosol,1
O60356,NUPR1,extracellular;nucleus,2
Q9Y2B9,PKIG,nucleus,1
P60602,ROMO1,mitochondrion,1
P02814,SMR3B,extracellular;vesicle,2
A8MWD9,SNRPG,cytosol;nucleus,2
O43715,TRIAP1,mitochondrion;nucleus,2
Q15643,TRIP11,cytoskeleton;er_golgi_intermediate;golgi;nucleus;vesicle,5
Q99576,TSC22D3,cytosol;nucleus,2
O14949,UQCRQ,mitochondrion,1
Q9NRR8,CDC42SE1,cell junction;cytoskeleton;plasma_membrane,3
P61024,CKS1B,nucleus,1
