,cell junction,cytoskeleton,cytosol,endoplasmic_reticulum,extracellular,golgi,lysosome,mitochondrion,nucleus,peroxisome,plasma_membrane,vesicle
cell junction,0,0,1,0,0,0,0,0,3,0,4,1
cytoskeleton,0,3,12,1,7,1,3,20,48,0,13,0
cytosol,1,12,70,19,47,30,10,92,288,1,109,0
endoplasmic_reticulum,0,1,19,13,43,21,4,13,21,0,57,0
extracellular,0,7,47,43,81,68,5,47,120,0,105,0
golgi,0,1,30,21,68,19,6,17,41,0,94,1
lysosome,0,3,10,4,5,6,3,5,21,0,5,0
mitochondrion,0,20,92,13,47,17,5,1250,357,0,227,0
nucleus,3,48,288,21,120,41,21,357,1854,1,183,2
peroxisome,0,0,1,0,0,0,0,0,1,0,1,0
plasma_membrane,4,13,109,57,105,94,5,227,183,1,302,4
vesicle,1,0,0,0,0,1,0,0,2,0,4,1
