compartment_a,compartment_b,observed,null_mean,null_std,z_score,p_empirical,q_value,direction,significant
cytoskeleton,cytoskeleton,9,1.08,1.0609429767899874,7.4650571927653715,0.003992015968063872,0.014153511159499182,enriched,True
cytosol,mitochondrion,109,205.566,13.339326969528859,-7.239195817044335,0.003992015968063872,0.014153511159499182,depleted,True
cytosol,cytosol,90,30.4,5.394070818964097,11.049168985780181,0.003992015968063872,0.014153511159499182,enriched,True
cytoskeleton,mitochondrion,8,38.108,5.93804142794575,-5.0703586974494685,0.003992015968063872,0.014153511159499182,depleted,True
cytosol,nucleus,475,529.388,16.759279698125454,-3.245246870966859,0.003992015968063872,0.014153511159499182,depleted,True
golgi,plasma_membrane,184,76.092,8.32967802498992,12.954642385487713,0.003992015968063872,0.014153511159499182,enriched,True
golgi,nucleus,42,245.216,11.367732579542853,-17.876564088576778,0.003992015968063872,0.014153511159499182,depleted,True
golgi,mitochondrion,39,94.794,8.847573904749256,-6.306135512476539,0.003992015968063872,0.014153511159499182,depleted,True
golgi,golgi,40,6.668,2.5988028012913946,12.825905829960124,0.003992015968063872,0.014153511159499182,enriched,True
extracellular,extracellular,113,32.994,5.5282876191457335,14.472112435489208,0.003992015968063872,0.014153511159499182,enriched,True
extracellular,nucleus,291,547.136,16.669058281738653,-15.365955033020851,0.003992015968063872,0.014153511159499182,depleted,True
extracellular,mitochondrion,132,212.536,12.651351864524202,-6.365801920807523,0.003992015968063872,0.014153511159499182,depleted,True
extracellular,golgi,113,29.422,5.186512894035838,16.114488039952512,0.003992015968063872,0.014153511159499182,enriched,True
endoplasmic_reticulum,nucleus,55,95.648,6.9036291905055265,-5.887917626848017,0.003992015968063872,0.014153511159499182,depleted,True
endoplasmic_reticulum,mitochondrion,16,37.704,5.462269125555789,-3.9734402500337453,0.003992015968063872,0.014153511159499182,depleted,True
endoplasmic_reticulum,extracellular,46,11.61,3.2090341225982626,10.716620230935845,0.003992015968063872,0.014153511159499182,enriched,True
mitochondrion,mitochondrion,1121,351.092,15.188269684200371,50.69096190732631,0.003992015968063872,0.014153511159499182,enriched,True
nucleus,plasma_membrane,536,1421.5,26.052677405594995,-33.988829102448896,0.003992015968063872,0.014153511159499182,depleted,True
mitochondrion,plasma_membrane,390,557.09,19.60168105035892,-8.524268891567363,0.003992015968063872,0.014153511159499182,depleted,True
plasma_membrane,plasma_membrane,656,218.228,12.261321951567865,35.70349116752633,0.003992015968063872,0.014153511159499182,enriched,True
nucleus,nucleus,3553,2286.71,24.107963414606385,52.52579731528827,0.003992015968063872,0.014153511159499182,enriched,True
