compartment_a,compartment_b,observed,null_mean,null_std,z_score,p_empirical,q_value,direction,significant
cell junction,plasma_membrane,4,0.84,0.8187795796183488,3.8594025530936493,0.003992015968063872,0.01153249057440674,enriched,True
cytosol,mitochondrion,92,215.238,12.27132250411503,-10.042764336009727,0.003992015968063872,0.01153249057440674,depleted,True
cytosol,lysosome,10,3.504,1.808309707986992,3.592304996930719,0.003992015968063872,0.01153249057440674,enriched,True
cytosol,cytosol,70,24.464,4.286805803859092,10.622361283314333,0.003992015968063872,0.01153249057440674,enriched,True
golgi,plasma_membrane,94,38.446,5.7819619507568545,9.608157312887199,0.003992015968063872,0.01153249057440674,enriched,True
mitochondrion,mitochondrion,1250,465.256,17.368778425669436,45.181300651531224,0.003992015968063872,0.01153249057440674,enriched,True
extracellular,mitochondrion,47,169.634,11.272268804459907,-10.879265046578686,0.003992015968063872,0.01153249057440674,depleted,True
extracellular,nucleus,120,253.026,13.180642017747086,-10.092528104540511,0.003992015968063872,0.01153249057440674,depleted,True
endoplasmic_reticulum,plasma_membrane,57,24.874,4.411136361528626,7.282930602686499,0.003992015968063872,0.01153249057440674,enriched,True
extracellular,extracellular,81,15.02,3.700756679383286,17.828786304047224,0.003992015968063872,0.01153249057440674,enriched,True
extracellular,golgi,68,16.07,3.522087449226666,14.744097285659988,0.003992015968063872,0.01153249057440674,enriched,True
endoplasmic_reticulum,nucleus,21,88.93,6.713948167807077,-10.117742690615295,0.003992015968063872,0.01153249057440674,depleted,True
endoplasmic_reticulum,mitochondrion,13,54.464,5.613973993527224,-7.385855375854428,0.003992015968063872,0.01153249057440674,depleted,True
endoplasmic_reticulum,golgi,21,5.116,2.3174434189425206,6.854104773461125,0.003992015968063872,0.01153249057440674,enriched,True
lysosome,lysosome,3,0.088,0.28329489935401236,10.279041403993272,0.003992015968063872,0.01153249057440674,enriched,True
lysosome,mitochondrion,5,19.016,3.8089032542189885,-3.679799423751435,0.003992015968063872,0.01153249057440674,depleted,True
extracellular,plasma_membrane,105,75.454,7.18970680904305,4.1094860729004585,0.003992015968063872,0.01153249057440674,enriched,True
golgi,golgi,19,4.602,2.1013319585443897,6.851844584314805,0.003992015968063872,0.01153249057440674,enriched,True
