compartment_a,compartment_b,observed,null_mean,null_std,z_score,p_empirical,q_value,direction,significant
cytoskeleton,cytoskeleton,9,1.23,0.9450396817065408,8.221876975545651,0.003992015968063872,0.01245508982035928,enriched,True
cytosol,mitochondrion,109,209.458,12.233406557455694,-8.211776460480298,0.003992015968063872,0.01245508982035928,depleted,True
cytosol,cytosol,90,31.224,4.897124053972903,12.00214643374546,0.003992015968063872,0.01245508982035928,enriched,True
cytoskeleton,mitochondrion,8,38.722,5.616468285319521,-5.4699854854165215,0.003992015968063872,0.01245508982035928,depleted,True
cytosol,nucleus,475,535.004,15.977859180753846,-3.7554467917878465,0.003992015968063872,0.01245508982035928,depleted,True
lysosome,nucleus,12,25.378,3.739400486709066,-3.5775788251484064,0.003992015968063872,0.01245508982035928,depleted,True
mitochondrion,mitochondrion,1121,345.538,15.221844697670514,50.94402258082908,0.003992015968063872,0.01245508982035928,enriched,True
golgi,mitochondrion,39,97.732,8.094947560052505,-7.255389805097027,0.003992015968063872,0.01245508982035928,depleted,True
extracellular,golgi,113,27.66,4.979598377379445,17.137928309172374,0.003992015968063872,0.01245508982035928,enriched,True
extracellular,extracellular,113,32.476,5.4755295634303724,14.706157471561966,0.003992015968063872,0.01245508982035928,enriched,True
extracellular,nucleus,291,554.236,16.399033630064913,-16.051921469165134,0.003992015968063872,0.01245508982035928,depleted,True
extracellular,mitochondrion,132,211.14,13.242824472143397,-5.976066523155457,0.003992015968063872,0.01245508982035928,depleted,True
endoplasmic_reticulum,mitochondrion,16,38.334,5.500040363488254,-4.060697472015507,0.003992015968063872,0.01245508982035928,depleted,True
endoplasmic_reticulum,nucleus,55,94.588,6.677593578528121,-5.928482998320781,0.003992015968063872,0.01245508982035928,depleted,True
endoplasmic_reticulum,extracellular,46,10.858,3.392025353678831,10.360181996247945,0.003992015968063872,0.01245508982035928,enriched,True
endoplasmic_reticulum,endoplasmic_reticulum,5,0.99,1.0069260151570223,3.98241771454745,0.003992015968063872,0.01245508982035928,enriched,True
golgi,plasma_membrane,184,74.262,7.8885585502042135,13.911033213686318,0.003992015968063872,0.01245508982035928,enriched,True
golgi,lysosome,6,1.388,1.0924541180296772,4.2216875966544825,0.003992015968063872,0.01245508982035928,enriched,True
golgi,nucleus,42,248.342,10.11439746104532,-20.400819801150533,0.003992015968063872,0.01245508982035928,depleted,True
golgi,golgi,40,6.01,2.3642969356660766,14.376366812159421,0.003992015968063872,0.01245508982035928,enriched,True
nucleus,nucleus,3553,2273.258,22.5642956016801,56.71535343229206,0.003992015968063872,0.01245508982035928,enriched,True
nucleus,plasma_membrane,536,1426.406,24.55893246865588,-36.25589186893237,0.003992015968063872,0.01245508982035928,depleted,True
mitochondrion,plasma_membrane,390,557.764,21.22602892676819,-7.903692234605055,0.003992015968063872,0.01245508982035928,depleted,True
mitochondrion,nucleus,717,1794.05,29.52706385673997,-36.47670507388251,0.003992015968063872,0.01245508982035928,depleted,True
plasma_membrane,plasma_membrane,656,220.27,11.71482394233904,37.194754453390445,0.003992015968063872,0.01245508982035928,enriched,True
lysosome,mitochondrion,2,8.368,2.465071195726403,-2.5832925276316363,0.011976047904191617,0.034597471723220224,depleted,True
cytosol,extracellular,83,62.67,7.548317693367179,2.693315361893721,0.011976047904191617,0.034597471723220224,enriched,True
nucleus,vesicle,8,14.992,2.6690702501058303,-2.6196388048320434,0.023952095808383235,0.06672369546621044,depleted,False
extracellular,plasma_membrane,207,168.816,14.431567621017475,2.6458664091619934,0.027944111776447105,0.07516002477803015,enriched,False
cytoskeleton,vesicle,2,0.23,0.46162755550335166,3.8342598462737323,0.031936127744510975,0.08303393213572853,enriched,False
vesicle,vesicle,1,0.016,0.125475097130865,7.8421935706790595,0.03592814371257485,0.09039984547034961,enriched,False
extracellular,lysosome,7,3.262,1.532760907643459,2.438736518761418,0.05588822355289421,0.13209943748865904,enriched,False
cell junction,mitochondrion,2,6.444,2.1649166265701782,-2.0527349392851746,0.05588822355289421,0.13209943748865904,depleted,False
cytoskeleton,cytosol,18,11.018,3.2220608312072567,2.166936121247578,0.059880239520958084,0.13737231419513912,enriched,False
lysosome,lysosome,1,0.034,0.20209898564812245,4.7798359645501485,0.06387225548902195,0.14234388366124892,enriched,False
cytoskeleton,endoplasmic_reticulum,5,1.824,1.2841432941848818,2.4732442355788544,0.06786427145708583,0.14703925482368596,enriched,False
cell junction,vesicle,1,0.036,0.18629009635512025,5.174724898753342,0.07584830339321358,0.1598964233694773,enriched,False
cytoskeleton,plasma_membrane,40,31.306,5.021988052554486,1.7311869142296556,0.09580838323353294,0.1966593129530413,enriched,False
cytosol,vesicle,4,1.594,1.192125832284495,2.0182433220068163,0.1157684630738523,0.23153692614770457,enriched,False
endoplasmic_reticulum,plasma_membrane,40,31.92,4.922763451558485,1.6413545114466088,0.12375249500998003,0.23543157587264496,enriched,False
cytoskeleton,golgi,1,4.77,2.278837422897913,-1.654352329884872,0.12375249500998003,0.23543157587264496,depleted,False
lysosome,plasma_membrane,12,7.436,2.5436005975781653,1.7943068594753102,0.13572854291417166,0.25206729398346167,enriched,False
endoplasmic_reticulum,lysosome,2,0.452,0.6720833281669767,2.3032858205573654,0.16367265469061876,0.2968945829271689,enriched,False
endoplasmic_reticulum,golgi,10,6.114,2.237186626099843,1.7370030531492067,0.16766467065868262,0.29722373434948285,enriched,False
cytoskeleton,lysosome,2,0.594,0.702256363445715,2.0021178492442173,0.2155688622754491,0.3655298099453268,enriched,False
cell junction,cell junction,1,0.104,0.30526054445342266,2.935197542821371,0.21157684630738524,0.3655298099453268,enriched,False
cytosol,plasma_membrane,170,157.498,10.405094713648694,1.2015267851046794,0.23952095808383234,0.3975028666072111,enriched,False
mitochondrion,peroxisome,0,1.934,1.3467160056968208,-1.4360859986952523,0.2874251497005988,0.46388854943174873,depleted,False
peroxisome,plasma_membrane,4,2.278,1.3025805157455719,1.321991216039617,0.29141716566866266,0.46388854943174873,enriched,False
cell junction,extracellular,5,2.658,1.6543989845258007,1.415619824422998,0.3073852295409182,0.4795209580838323,enriched,False
plasma_membrane,vesicle,7,4.732,2.1633714429103477,1.0483636582300897,0.37524950099800397,0.573911001526359,enriched,False
cell junction,cytoskeleton,1,0.216,0.44871371719616504,1.7472164766856397,0.4031936127744511,0.6047904191616766,enriched,False
mitochondrion,vesicle,4,5.978,2.0575509714220934,-0.9613370591897845,0.46706586826347307,0.6385872323150309,depleted,False
nucleus,peroxisome,3,4.872,1.7296288619238522,-1.0823131142237008,0.4590818363273453,0.6385872323150309,depleted,False
golgi,peroxisome,1,0.246,0.4748515557519002,1.5878646513142076,0.4550898203592814,0.6385872323150309,enriched,False
peroxisome,vesicle,1,0.222,0.41559114523772045,1.872032185755497,0.4471057884231537,0.6385872323150309,enriched,False
cytosol,lysosome,5,2.95,1.9512816301087859,1.0505915539653343,0.47904191616766467,0.6385872323150309,enriched,False
cytoskeleton,extracellular,9,12.016,3.109942764746644,-0.9697927673102057,0.4351297405189621,0.6385872323150309,depleted,False
cytosol,endoplasmic_reticulum,13,10.344,2.839306957692317,0.9354395419643878,0.48303393213572854,0.6385872323150309,enriched,False
cell junction,cytosol,1,2.516,1.47164669673125,-1.0301385538847505,0.5349301397205589,0.6954091816367266,depleted,False
cytosol,golgi,25,27.918,5.225636420571182,-0.5584008846296755,0.7065868263473054,0.9035044664768823,depleted,False
cell junction,plasma_membrane,6,5.042,2.092901335467107,0.4577377747175013,0.7744510978043913,0.9743094456248793,enriched,False
extracellular,vesicle,1,2.04,1.3275541420220873,-0.7833955445432198,0.8063872255489022,0.9983841840129265,depleted,False
cytoskeleton,nucleus,101,101.756,7.362639744004863,-0.10268056380397864,1.0,1.0,depleted,False
lysosome,vesicle,0,0.034,0.18122913673027305,-0.18760780199821225,1.0,1.0,depleted,False
lysosome,peroxisome,0,0.026,0.1712425180847327,-0.15183145103679746,1.0,1.0,depleted,False
golgi,vesicle,1,0.868,0.809058712331806,0.16315255986745372,1.0,1.0,enriched,False
extracellular,peroxisome,1,0.692,0.7570574614915304,0.4068383387876375,1.0,1.0,enriched,False
endoplasmic_reticulum,vesicle,0,0.242,0.4974293919743786,-0.4865012078185859,1.0,1.0,depleted,False
endoplasmic_reticulum,peroxisome,0,0.052,0.22202702538204672,-0.23420572297684245,1.0,1.0,depleted,False
cytoskeleton,peroxisome,0,0.088,0.3037367281051141,-0.2897245932324189,1.0,1.0,depleted,False
cytosol,peroxisome,1,0.582,0.69518055208701,0.6012826434012245,0.9500998003992016,1.0,enriched,False
cell junction,peroxisome,0,0.004,0.063118935352238,-0.06337242505244779,1.0,1.0,depleted,False
cell junction,nucleus,19,18.86,2.801499598429384,0.04997323579074912,1.0,1.0,enriched,False
cell junction,golgi,0,0.68,0.8109253973085317,-0.8385481602338831,1.0,1.0,depleted,False
cell junction,lysosome,0,0.044,0.20509509989270833,-0.21453462331873252,1.0,1.0,depleted,False
cell junction,endoplasmic_reticulum,0,0.292,0.5317292544143118,-0.5491516548617051,1.0,1.0,depleted,False
peroxisome,peroxisome,0,0.002,0.044676615807377355,-0.04476614810358452,1.0,1.0,depleted,False
